Author_ID,Author_Name
-2759359491239929343,B.M.S.; Moreira
9194832667837177503,T.M.; Faria
-8009203746503803906,J.R.; Coutinho
-4050337078175769103,F.D.L.; Pereira
2687701095458405270,S.S.; Oliveira
-1089413114446352506,A.S.R.
7400006657538215958,Martínez Rolán
5861628642278310106,X.; Cabezuelo-Lorenzo
241151602710240030,F.; Oliveira
6077855057683389955,L.
-2680913212321629078,Siqueira
-364510854665797911,J.; Torres
6168348394506709821,M.J.; Varandas
7739870372606986067,P.
8263096878522682522,Landeiro
7369597557843822336,F.; Silva
-7113713184779847153,M.; Moura
6544431198903987228,C.V.E.; Martins
-7724640600001019723,C.; Miller
8136002624210377529,P.; Ferraz
1684825346503971397,S.; de Azevedo
5468588734095733912,A.P.; Gancho
-644352102368266165,S.; Rocha
1371201365508356762,L.; Patricio
-3976772936199751328,R.; Nunes
2665411062097575595,Rapinski
-2986964303937428851,M.; Raymond
-375740319682592082,R.; Davy
-1939133979438886549,D.; Bedell
9190553240702798791,J.-P.; Ka
7128051932805737334,A.; Lubszynski
-5773719015347637259,J.; Lopez
8136076117154488536,P.J.; da Silva
-8925789050101737235,E.F.; Deghel
8874169204584553971,N.E.; MacIa
5875665766464964806,E.; Duboz
3550364341319607452,Marta
2887523775979684598,A.; Marques-Couto
4029947094499797460,P.; Vaz-Pereira
3902794481495450724,S.; Costa
-8214221122036590579,J.; Cabral
8091358276247739848,D.; Estrela-Silva
543136586838407391,S.; Franca
7254635369723669029,M.; Marques
-8182098368300162395,J.H.; Menéres
4094264815587795749,M.J.; Lemos
7810960320581620910,C.; Melo Beirão
5473040215374497215,C.A.; Carvalho
-3607669971597646111,A.L.; Marques
3926128188819010683,Ferreira
5501095912716636812,B.H.; Mazeda
7392722979422830393,C.; Dourado
4293267876958492276,E.; Simões
-5340134298883243121,J.L.; Prata
5667808620563445220,A.R.; Argüello
-3784330256976623329,R.J.; Duarte
4354504875605924291,I.F.; Pierre
8117939032827701845,P.; Almeida
8032542406876456400,C.R.
8995486828615463007,Alhaddad
-7657332758463094662,T.; Shoker
-4510539072828572483,M.B.; Pagés
6869982910187672148,O.; Polian
709435697824437379,A.; Torres
-7497189526222016516,V.J.B.; Le Godec
9178826409334800283,Y.; Itiè
-3183419275414223974,J.-P.; Bellin
-1598939142896372628,C.; Béneut
-3527436380384144280,K.; Diliberto
